CodeOriginal,Code,Name
UNGR1,UNGR1.Salt_Desert,"Unknown grass 1, Salt_Desert"
UNGR1,UNGR1.UtahPJ,"Unknown grass 1, UtahPJ"
UNGR2,UNGR2.AguaFria,"Unknown grass 2, AguaFria"
UNGR2,UNGR2.MOWE,"Unknown grass 2, MOWE"
UNGR2,UNGR2.PEFO,"Unknown grass 2, PEFO"
unk grass 2,unk grass 2.Roosevelt,"Unknown grass 2, Roosevelt"
UNGR2,UNGR2.UtahPJ,"Unknown grass 2, UtahPJ"
UNGR3,UNGR3.AguaFria,"Unknown grass 3, AguaFria"
UNGR3,UNGR3.MOWE,"Unknown grass 3, MOWE"
UNGR3,UNGR3.PEFO,"Unknown grass 3, PEFO"
UNGR3,UNGR3.UtahPJ,"Unknown grass 3, UtahPJ"
UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria"
UNGR4,UNGR4.MOWE,"Unknown grass 4, MOWE"
UNGR4,UNGR4.Salt_Desert,"Unknown grass 4, Salt_Desert"
UNGR4,UNGR4.UtahPJ,"Unknown grass 4, UtahPJ"
UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria"
UNGR,UNGR.AguaFria,"Unknown grass, AguaFria"
UNGR,UNGR.BabbittPJ,"Unknown grass, BabbittPJ"
UNGR,UNGR.BarTBar,"Unknown grass, BarTBar"
Unkgrass,Unkgrass.Creosote,"Unknown grass, Creosote"
Unkgrass2,Unkgrass2.Creosote,"Unknown grass, Creosote"
UNGR,UNGR.FlyingM,"Unknown grass, FlyingM"
Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite"
UNGR,UNGR.MOWE,"Unknown grass, MOWE"
UNGR,UNGR.PEFO,"Unknown grass, PEFO"
UNGR,UNGR.Spiderweb,"Unknown grass, Spiderweb"
UNGR,UNGR.TLE,"Unknown grass, TLE"
UNGR,UNGR.UtahPJ,"Unknown grass, UtahPJ"
UNGR_S_1,UNGR_S_1.SRER,"Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021), SRER"
UNGR_S_2,UNGR_S_2.SRER,"Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021), SRER"
UNGR_P_1,UNGR_P_1.Patagonia,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia"
Unksporo,Unksporo.Creosote,"Unknown grass; Sporobolus and Eragrostis, Creosote"
Unk grass,Unk grass.SCC,"Unknown likely associated with warm seed mix, SCC"
UNSH,UNSH.BarTBar,"Unknown shrub, BarTBar"
UnkATCA,UnkATCA.Mesquite,"Unknown shrub; Possible Atriplex canescens, Mesquite"
UNSFF,UNSFF.SRER,"Unknown shrubby fuzzy forb, munched down, SRER"
Unk sp.,Unk sp..Pleasant,"Unknown species, Pleasant"
Unk sp.,Unk sp..SCC,"Unknown species, SCC"
UCHEN1,UCHEN1.PEFO,"Unknown UCHEN1 (?), PEFO"
UCHEN2,UCHEN2.PEFO,"Unknown UCHEN2 (?), PEFO"
UNFO_P_4,UNFO_P_4.Patagonia,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia"
VEEN,VEEN,Verbesina encelioides
VEPEX2,VEPEX2,Veronica peregrina ssp. xalapensis
VUOC,VUOC,Vulpia octoflora
ZIGR,ZIGR,Zinnia grandiflora
