Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
DRCU,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
ERISPP.BarTBar,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
LUSP.AguaFria,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
PORSPP.FlyingM,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.AguaFria,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.BabbittPJ,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
CLLU2,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
DICA14,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ELSPP.FlyingM,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
MATA2,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
POSE,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
SOSP.FlyingM,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR2.AguaFria,2,0.09107468123861566,9.107468123861566e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ACHY,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ASTU,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ATSP.FlyingM,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ATSP.PEFO,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
CHWA,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
COEQ,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ELSPP.BabbittPJ,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ELSPP.PEFO,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ELSPse.BabbittPJ,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ERISP.BarTBar,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
GILSPP.Spiderweb,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
HEBO,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
HECO26,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
HOIN2,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
PEPA8,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
PORSPP.PEFO,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
SPSP.AguaFria,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
SUNFO.Spiderweb,1,0.04553734061930783,4.553734061930783e-4,Native recruit,wetter,NA,"Native recruit, wetter"
ATCO,179,13.811728395061728,0.1381172839506173,Native recruit,drier,NA,"Native recruit, drier"
SOEL,132,10.185185185185185,0.10185185185185185,Native recruit,drier,NA,"Native recruit, drier"
SPSP.TLE,105,8.101851851851851,0.08101851851851852,Native recruit,drier,NA,"Native recruit, drier"
HECI,78,6.018518518518518,0.06018518518518518,Native recruit,drier,NA,"Native recruit, drier"
CHEN.BabbittPJ,74,5.709876543209877,0.05709876543209877,Native recruit,drier,NA,"Native recruit, drier"
SPSP.BarTBar,70,5.401234567901234,0.05401234567901234,Native recruit,drier,NA,"Native recruit, drier"
SPAI,54,4.166666666666666,0.04166666666666666,Native recruit,drier,NA,"Native recruit, drier"
UNGR1.PEFO,54,4.166666666666666,0.04166666666666666,Native recruit,drier,NA,"Native recruit, drier"
GUSA2,49,3.7808641975308643,0.03780864197530864,Native recruit,drier,NA,"Native recruit, drier"
SPSP.FlyingM,48,3.7037037037037033,0.037037037037037035,Native recruit,drier,NA,"Native recruit, drier"
BOSPP.FlyingM,45,3.4722222222222223,0.034722222222222224,Native recruit,drier,NA,"Native recruit, drier"
MACSPP.TLE,41,3.1635802469135803,0.031635802469135804,Native recruit,drier,NA,"Native recruit, drier"
DAPU7,40,3.0864197530864197,0.030864197530864196,Native recruit,drier,NA,"Native recruit, drier"
ACHY,36,2.7777777777777777,0.027777777777777776,Native recruit,drier,NA,"Native recruit, drier"
PHNE3,36,2.7777777777777777,0.027777777777777776,Native recruit,drier,NA,"Native recruit, drier"
MEMO4,35,2.700617283950617,0.02700617283950617,Native recruit,drier,NA,"Native recruit, drier"
MONU,35,2.700617283950617,0.02700617283950617,Native recruit,drier,NA,"Native recruit, drier"
ATCA2,34,2.6234567901234565,0.026234567901234563,Native recruit,drier,NA,"Native recruit, drier"
PORSPP.PEFO,32,2.4691358024691357,0.024691358024691357,Native recruit,drier,NA,"Native recruit, drier"
BOSPP.BarTBar,28,2.1604938271604937,0.021604938271604937,Native recruit,drier,NA,"Native recruit, drier"
LAOC3,26,2.006172839506173,0.020061728395061727,Native recruit,drier,NA,"Native recruit, drier"
ARFR4,23,1.7746913580246912,0.017746913580246913,Native recruit,drier,NA,"Native recruit, drier"
TOIN,22,1.6975308641975309,0.016975308641975308,Native recruit,drier,NA,"Native recruit, drier"
CRYSPP.PEFO,21,1.6203703703703702,0.016203703703703703,Native recruit,drier,NA,"Native recruit, drier"
MAGR10,20,1.5432098765432098,0.015432098765432098,Native recruit,drier,NA,"Native recruit, drier"
SPCR,20,1.5432098765432098,0.015432098765432098,Native recruit,drier,NA,"Native recruit, drier"
VEEN,20,1.5432098765432098,0.015432098765432098,Native recruit,drier,NA,"Native recruit, drier"
KRLA2,17,1.3117283950617282,0.013117283950617281,Native recruit,drier,NA,"Native recruit, drier"
HESP.FlyingM,16,1.2345679012345678,0.012345679012345678,Native recruit,drier,NA,"Native recruit, drier"
BOSPP.PEFO,14,1.0802469135802468,0.010802469135802469,Native recruit,drier,NA,"Native recruit, drier"
CHCO2,14,1.0802469135802468,0.010802469135802469,Native recruit,drier,NA,"Native recruit, drier"
