Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
BabbittPJ,Colorado Plateau,None,PHNE3,PHNE3,Phacelia neomexicana,Native,Annual,Forb,No
BabbittPJ,Colorado Plateau,Cool,PHNE3,PHNE3,Phacelia neomexicana,Native,Annual,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,PHNE3,PHNE3,Phacelia neomexicana,Native,Annual,Forb,No
BabbittPJ,Colorado Plateau,None,PHSPP,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,PHSPP,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,PHSPP,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BabbittPJ,Colorado Plateau,None,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BabbittPJ,Colorado Plateau,None,CHEN,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,CHEN,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,CHEN,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,UNFO1,UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,UNFO1,UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Med-Warm,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Cool-Med,AMASPP,AMASPP.BarTBar,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,Med-Warm,AMASPP,AMASPP.BarTBar,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,Cool-Med,ARFR4,ARFR4,Artemisia frigida,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Med-Warm,ARFR4,ARFR4,Artemisia frigida,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,None,ARFR4,ARFR4,Artemisia frigida,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Med-Warm,ARSPP,ARSPP.BarTBar,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub,No
BarTBar,Colorado Plateau,Cool-Med,ARSPP,ARSPP.BarTBar,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub,No
BarTBar,Colorado Plateau,None,ARSPP,ARSPP.BarTBar,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub,No
BarTBar,Colorado Plateau,Cool-Med,ATCA2,ATCA2,Atriplex canescens,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,None,ATCA2,ATCA2,Atriplex canescens,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Med-Warm,CHER2,CHER2,Chaetopappa ericoides,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Cool-Med,CHER2,CHER2,Chaetopappa ericoides,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Cool-Med,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Med-Warm,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Med-Warm,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Cool-Med,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
BarTBar,Colorado Plateau,None,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
BarTBar,Colorado Plateau,Med-Warm,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
BarTBar,Colorado Plateau,Cool-Med,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
BarTBar,Colorado Plateau,None,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Med-Warm,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Cool-Med,ERISP,ERISP.BarTBar,"Eriogonum spp., BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Cool-Med,GUSA2,GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,None,GUSA2,GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Med-Warm,GUSA2,GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Cool-Med,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,None,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,Med-Warm,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,Med-Warm,OESP,OESP.BarTBar,"Oenothera spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,Cool-Med,OESP,OESP.BarTBar,"Oenothera spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,Cool-Med,PORSPP,PORSPP.BarTBar,"Portulaca spp., BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Med-Warm,PORSPP,PORSPP.BarTBar,"Portulaca spp., BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,Med-Warm,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BarTBar,Colorado Plateau,Cool-Med,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BarTBar,Colorado Plateau,None,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BarTBar,Colorado Plateau,Cool-Med,SAAB,SAAB,Sanvitalia abertii,Native,Annual,Forb,No
BarTBar,Colorado Plateau,Med-Warm,SAAB,SAAB,Sanvitalia abertii,Native,Annual,Forb,No
BarTBar,Colorado Plateau,None,SAAB,SAAB,Sanvitalia abertii,Native,Annual,Forb,No
BarTBar,Colorado Plateau,Cool-Med,SCMU6,SCMU6,Schkuhria multiflora,Native,Annual,Forb,No
BarTBar,Colorado Plateau,Med-Warm,SCMU6,SCMU6,Schkuhria multiflora,Native,Annual,Forb,No
