Region,Site,CodeOriginal,CodeOriginal_2x2,Code,Code_2x2,Name,Name_2x2,Native,Native_2x2,Duration,Duration_2x2,Lifeform,Lifeform_2x2
Colorado Plateau,PEFO,UNGR2,UNGR2,UNGR2.PEFO,UNGR2.PEFO,"Unknown grass 2, PEFO","Unknown grass 2, PEFO",Native,Unknown,Unknown,Unknown,Grass,Grass
Utah,UtahPJ,UNGR2,UNGR2,UNGR2.UtahPJ,UNGR2.UtahPJ,"Unknown grass 2, UtahPJ","Unknown grass 2, UtahPJ",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,MOWE,UNGR4,UNGR4,UNGR4.MOWE,UNGR4.MOWE,"Unknown grass 4, MOWE","Unknown grass 4, MOWE",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,AguaFria,UNGR5,UNGR5,UNGR5.AguaFria,UNGR5.AguaFria,"Unknown grass 5, AguaFria","Unknown grass 5, AguaFria",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Sonoran Central,Preserve,UNK heart,UNK heart,UNK heart.Preserve,UNK heart.Preserve,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve","UNKnown  heart, Preserve",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,UNSH,UNSH,UNSH.BarTBar,UNSH.BarTBar,"Unknown shrub, BarTBar","Unknown shrub, BarTBar",Unknown,Unknown,Perennial,Perennial,Shrub,Shrub
Sonoran Central,SCC,Unk grass,Unk grass,Unk grass.SCC,Unk grass.SCC,"Unknown likely associated with warm seed mix, SCC","Unknown grass, SCC",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Sonoran Central,Pleasant,Unk sp.,Unk sp.,Unk sp..Pleasant,Unk sp..Pleasant,"Unknown species, Pleasant","Unknown spp., Pleasant",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chihuahuan,Creosote,Unkfabaceae,Unkfabaceae,Unkfabaceae.Creosote,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote","Unknown fabaceae, Creosote",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Chihuahuan,Creosote,Unkforb,Unkforb,Unkforb.Creosote,Unkforb.Creosote,"Unknown forb, Creosote","Unknown forb, Creosote",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Chihuahuan,Creosote,Unkforb1,Unkforb1,Unkforb1.Creosote,Unkforb1.Creosote,"Unknown forb, Creosote","Unknown forb1, Creosote",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Chihuahuan,Creosote,Unkgrass,Unkgrass,Unkgrass.Creosote,Unkgrass.Creosote,"Unknown grass, Creosote","Unknown grass, Creosote",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Chihuahuan,Mesquite,Unkgrass,Unkgrass,Unkgrass.Mesquite,Unkgrass.Mesquite,"Unknown grass, Mesquite","Unknown grass, Mesquite",Native,Unknown,Unknown,Unknown,Grass,Grass
Chihuahuan,Creosote,Unksalsola,Unksalsola,Unksalsola.Creosote,Unksalsola.Creosote,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote","Unknown Salsola, Creosote",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Chihuahuan,Creosote,Unksporo,Unksporo,Unksporo.Creosote,Unksporo.Creosote,"Unknown grass; Sporobolus and Eragrostis, Creosote","Unknown Sporobolus, Creosote",Unknown,Unknown,Unknown,Unknown,Grass,Grass
Chihuahuan,Mesquite,Unksporo,Unksporo,Unksporo.Mesquite,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite","Unknown Sporobolus, Mesquite",Unknown,Unknown,Unknown,Unknown,Grass,Grass
